¹;Topic;label;Solution
1;Today, I have a problem with my network's shebeke connection. It keeps going and I can't do anything. Please help!;Network;
2;I am looking for a reliable software to manage our customer database. It should be user friendly and have advanced search capabilities.;Software;
3;I am interested in learning more about web development and coding. Do you offer any training courses or workshops?;Training;
4;I have a problem with my email account. I can't send or receive messages. Can you help solve the problems?;Email;
5;I am looking for a consultant to help us with our IT strategy and infrastructure. Can anyone help with this?;Consulting;
6;"I'm having trouble accessing a shared network folder. I get an error message saying ""permission denied"".";Network;
7;I am interested in learning more about cloud computing and how it can benefit our business. Can you provide any resources?;Training;
8;I have problems with my laptop. It keeps freezing and crashing and I have tried everything to fix it. Can you help?;Support;Run antivirus check and follow the antivirus' instructions. Let me know of the results.
9;I am looking for a software solution to manage our project timelines and deadlines. It should be customizable and easy to use.;Software;
10;I'm having trouble accessing my email account. I keep getting an error message saying 'invalid password'.;Email;
11;I am interested in learning more about cyber security and how we can protect our business from threats. Do you have a resource?;Training;
12;I am looking for a consultant to help us with information and reporting. Is there anyone who can help with this?;Consulting;
13;"I am having trouble accessing the database. I get an error message saying ""database not found"".";Database;
14;I am interested in learning more about artificial intelligence and how it can be used in our business. Can you provide any resources?;Training;
15;I have problems with our company's phone system. Some lines are down and I can't receive any calls.;Hardware;
16;I am looking for software to manage our customer relations and sales. It should be customizable and easy to use.;Software;
17;"I'm having trouble accessing our company's intranet. I get an error message saying ""access is denied"".";Network;
18;I am interested in learning more about project management and leading a team effectively. Do you have a resource?;Training;
19;I have problems with our company's security system. Some cameras don't work and I can't access the feeds.;Hardware;
20;I am looking for a consultant to help us with our social media strategy and communication. Can anyone help with this?;Consulting;
21;"I'm having trouble accessing the file. I get a ""file not found"" error message.";Network;
22;I am interested in learning more about cloud storage and how it can benefit our business. Can you provide any resources?;Training;
23;I have problems with our company's server. It runs slowly and doesn't run many programs.;Hardware;
24;I am looking for a software solution to manage our marketing campaigns and analytics. It should be user friendly and have advanced reporting capabilities.;Software;
25;I am interested in learning more about search engine optimization and how it can improve our business' online presence. Do you have a resource?;Training;
26;I have problems with our company's printer. It won't print any documents and I've tried resetting it.;Printer;
27;I am looking for a consultant to help us with our financial analysis and reporting. Can anyone help with this?;Consulting;
28;My device is having issues with the software update, it doesn't install properly and keeps crashing. Can someone look into this?;Software;
29;I am worried about the lack of information in our company, can you do anything to improve it?;Security;
30;I'm having a problem with our network configuration, which is causing disruptions in our workflow. Please help!;Network;
31;I am getting an error message when trying to access the database, can you help?;Database;
32;I'm looking for a new project management software solution, can you recommend any?;Software;
33;I'm having trouble installing new hardware, it's not connecting properly. Can you help?;Hardware;
34;I'm having problems with the configuration of our VPN, it's causing problems like this. Make fun!;VPN;
35;I am looking for new customer relationship management software. Can you recommend any?;Software;
36;I am looking for new inventory management software. Can you recommend any?;Software;
37;I have a problem with my e-pocd account, it keeps crashing and I can't access my messages. Can you help?;Access;
38;I am considering a career change and am interested in learning more about IT consulting, do you have any resources?;Consulting;
39;I have a problem with my computer's network connection, it keeps disconnecting and I can't access the internet.;Network;
40;I am interested in learning more about software development, do you offer any courses or seminars?;Training;
41;I have a problem with my company's IT infrastructure and need professional help.;Consulting;
42;I'm interested in learning more about IT security and best practices, do you have any resources?;Training;
43;I have a problem with my smartphone and need help with some software issues.;Support;
44;I am interested in learning more about data science and analytics, do you have any resources?;Training;
45;I'm having problems with my computer's performance and I have a great need to optimize it.;Support;
46;I am interested in learning more about machine learning and artificial intelligence, do you have any resources?;Training;
47;I am looking for a company to help me with my company's IT strategy and roadmap, what do you suggest?;Consulting;
48;I'm having a problem with my email spam filter, it's letting a lot of unwanted messages through.;Email;
49;I am interested in learning more about cyber security and risk management, do you have any resources?;Training;
50;I am looking for a company to help me with my company's IT compliance and regulations, what do you suggest?;Consulting;
51;I have a problem with data backup and recovery in my company, I need a professional solution.;Support;
52;I am interested in learning more about IT management and best practices, do you have any resources?;Training;
53;I am looking for a company to help me with my company's IT procurement and vendor management, what do you suggest?;Consulting;
54;I have a problem with the technical equipment of my computer, it causes me a lot of problems and I have a great need.;Hardware;
55;I am interested in learning more about software testing and quality assurance, do you have any resources?;Training;
56;I am looking for a company to help me manage my company's IT service, what do you suggest?;Consulting;
57;I have a problem with my company's IT budget and financial management, I need a professional solution.;Support;
58;I am interested in learning more about IT project management and best practices, do you have any resources?;Training;
59;I am looking for a company to help me manage and mitigate my company's IT risks, what do you suggest?;Consulting;
60;I'm having trouble with my company's IT change management, it's causing me a lot of problems and I need help.;Support;
61;I am interested in learning more about IT service delivery and best practices, do you have any resources?;Training;
62;I have problems with the new firmware update. He continues to stumble and make mistakes. Can you help?;Software;
63;I'm having problems with the company's website. Freezes and does not respond. Can you help?;Website;
64;I have a problem with the printer. It gives me an error message and won't print. Can you help?;Printer;
65;I have problems with the new program name. It doesn't work as expected. Can you help?;Software;
66;I'm trying to access the company's database, but I can't find the information I need. Can you help?;Database;
67;I have a problem with the company's e-mail system. I can't send or receive messages. Can you help?;Email;
68;I'm having problems with the company's VPN. I can't seem to connect. Can you help?;VPN;
69;I have problems with the company's security system. It doesn't work as expected. Can you help?;Security;
70;I have a problem with the company's network. I can't access some sites. Can you help?;Network;
71;I have a problem with the company's software. It doesn't work as expected. Can you help?;Software;
72;I have a problem with the company's hardware. It doesn't work as expected. Can you help?;Hardware;
73;I'm having trouble accessing my e-mail on my phone, it says that it's not possible to connect to the server.;Email;
74;I am interested in learning more about web development and coding.;Training;
75;I need help setting up a virtual private network for my business.;Network;
76;My computer freezes and crashes, can you help?;Software;
77;I am looking for a recommendation on a good antivirus software for my business.;Software;
78;I'm having trouble logging into my online account, it says wrong password.;Network;
79;I am looking for a developer to create custom software for my business.;Software;
80;I am having problems with internet connection on my laptop.;Network;
81;I need help setting up a firewall for my business.;Network;
82;I am looking for a Microsoft Excel training course for my team.;Training;
83;I am looking for a recommendation on a good project management software for my team.;Software;
84;I have problems with the printer not responding to my computer.;Printer;
85;I need help setting up a virtual meeting for my team.;Network;
86;I am looking for a developer to create a mobile app for my business.;Software;
87;I'm having sound problems on my computer.;Software;
88;I need help creating a new email account for a new employee.;Network;
89;I am looking for a Microsoft Word training course for my team.;Training;
90;I refer to Dovsiye for a good customer relationship management program.;Software;
91;I am having problems with the speed of my computer.;Software;
92;I need help to set up a new user account on my computer.;Software;
93;Please try to access my e-mail account. It says my password is wrong, but I'm sure I'm writing it correctly.;Email;
94;My computer is running very slowly and I can't figure out why. I tried restarting it, but that didn't help.;Hardware;
95;I'm trying to install a new program manager, but I'm getting an error message. I tried to follow the instructions, but I still have problems.;Software;
96;I'm having trouble connecting to the Internet. I checked my settings and everything is fine, but I still can't get online.;Network;
